image_id,post_id,date,author_class,author_department,is_anonymous,purpose,target_class,target_department,description,sentiment,target_name_initial
1,0001_01,2026-04-04,,,True,表白,I2601,I,学生物,积极,lxj
2,0002_01,2026-04-04,,,True,寻人,S2802,S,帅 有气质,积极,hwx
3,0003_01,2026-04-04,,,True,寻人,,I,高二国际部,中性,lqx
4,0004_01,2026-02-17,,,True,寻人,,,,中性,xzm
6,0006_01,2026-02-04,GTE94,,True,寻人,S2704,S,,中性,zg
7,0007_01,2025-10-29,S2806,S,False,寻人,S2806,S,运动会跑步很帅 运动会一楼吃饭太帅了,积极,zSY
8,0008_01,2025-10-29,,,True,提问,,,有复读经历,中性,xz
9,0009_01,2025-10-29,J2501,J,False,表白,J2501,J,长得跟个魔丸一样 太帅了,积极,jyq
10,0010_01,2025-10-29,,,True,寻人,S2713,S,,中性,hzx
11,0011_01,2025-08-19,,,True,提问,,,计算机相关专业,中性,xzxj
12,0012_01,2025-08-19,,,True,寻人,,,唱歌好听,积极,yg
13,0013_01,2025-08-19,,,True,推广,,,,中性,
14,0014_01,2025-08-19,,,True,寻人,,,,中性,
15,0015_01,2025-08-19,,,False,表白,,,已毕业的学长,积极,
16,0016_01,2025-08-19,,,False,表白,,,已毕业的学长,积极,hgg
17,0017_01,2025-05-11,,,True,表白,S2602,S,,积极,cyz
18,0018_01,2025-05-11,S2708,S,False,表白,,,,积极,
19,0019_01,2025-05-11,S2708,S,False,寻人,,,,积极,
20,0020_01,2025-05-11,,,False,表白,I2602,I,名人 帅 声甜 会振翅,积极,cyx
21,0021_01,2025-05-11,,,True,其他,,,,中性,bltsdr
22,0022_01,2025-05-10,S2602,S,False,表白,S2602,S,,积极,cyz
23,0023_01,2025-05-10,,,True,表白,S2708,S,头发卷卷的 可爱,积极,zbr
24,0024_01,2025-05-10,,,True,寻人,,,唱富士山下,中性,sg
25,0025_01,2025-05-10,,,True,寻人,,,追线下 小礼物,积极,thbb
26,0026_01,2025-05-10,,,True,寻人,,,,中性,
27,0027_01,2025-04-19,,,True,表白,S2706,S,帅 试训,积极,ph
28,0028_01,2025-04-19,,,True,表白,S2503,S,可爱,积极,skm
29,0029_01,2025-04-19,,,True,寻物,,,捡到红色葫芦手链,中性,
30,0030_01,2025-03-06,,,True,祝福,S2701,S,特别帅 特别优秀 温柔,积极,zy
31,0031_01,2025-03-06,,,True,提问,S2503,S,学长,中性,lzb
32,0032_01,2025-03-06,,,True,提问,,,,中性,
33,0033_01,2025-03-06,,,True,寻人,,,,中性,nwmldfzr
34,0034_01,2025-01-01,,,True,寻人,J2405,J,,中性,xzx
35,0035_01,2025-01-01,,,True,表白,J2708,J,性格超级好 萌萌的 学习好 人特别好 优秀 宣传委员,积极,tq
36,0036_01,2025-01-01,,,True,表白,S2704,S,玩第五人格的样子真帅,积极,tzy
37,0037_01,2025-01-01,,,False,其他,,,,中性,
38,0038_01,2025-01-01,,,True,表白,,,高三 戴眼镜 随手关门 美 有教养,积极,dyjdns
39,0039_01,2025-01-01,,,True,寻人,,S,普高纪检部 检查人员 女孩子 甩门 帅,积极,
41,0041_01,2024-12-23,,,True,寻人,S2608,S,跳了butterfly和memories,中性,xzxj
42,0042_01,2024-12-23,,,True,寻人,,,好帅,积极,xsdc0hxs
43,0043_01,2024-12-23,,,True,推广,,,,中性,
44,0044_01,2024-12-23,,,True,表白,J2503,J,又自 又高 又帅 好喜欢 国猫猫趴趴,积极,hyq
45,0045_01,2024-12-23,,,True,寻人,,,令人尊敬,积极,lrzjdxz
46,0046_01,2024-12-23,S2504,S,False,表白,,,你好特别 疲惫感 困 声音好听,积极,yyl
47,0047_01,2024-12-23,,,True,表白,S2707,S,戴黑眼镜 女孩子,积极,g
48,0048_01,2024-12-10,,,True,寻人,,,有品,积极,sz xs
49,0049_01,2024-12-10,J2508,J,False,其他,,,,中性,
50,0050_01,2024-12-10,,,True,表白,,,最好的班主任 物理老师 化学老师,积极,zjx ymm
51,0051_01,2024-12-10,,,True,寻人,,,,中性,
52,0052_01,2024-12-10,J2503,J,True,表白,,,帅,积极,
